CONM,TIC,CIK,SIC
WATERS CORP,WAT,0001000697,3826
INSPERITY INC,NSP,0001000753,7363
DISH NETWORK CORP,DISH,0001001082,4841
GEOSPACE TECHNOLOGIES CORP,GEOS,0001001115,3829
SANGAMO THERAPEUTICS INC,SGMO,0001001233,2836
LAUDER (ESTEE) COS INC -CL A,EL,0001001250,2844
TG THERAPEUTICS INC,TGTX,0001001316,2834
NORTHWEST PIPE CO,NWPX,0001001385,3317
TENGASCO INC,TGC,0001001614,1311
SOUTHERN COPPER CORP,SCCO,0001001838,1000
INTEVAC INC,IVAC,0001001902,3559
ASTROTECH CORP,ASTC,0001001907,3829
WESTELL TECH INC  -CL A,WSTL,0001002135,3661
NUANCE COMMUNICATIONS INC,NUAN,0001002517,7372
OPEN TEXT CORP,OTEX,0001002638,7370
MSC INDUSTRIAL DIRECT  -CL A,MSM,0001003078,5084
ASSERTIO THERAPEUTICS INC,ASRT,0001005201,2834
COLUMBUS MCKINNON CORP,CMCO,0001005229,3530
UNIVERSAL DISPLAY CORP,OLED,0001005284,3674
LANDEC CORP,LNDC,0001005286,2033
IDT CORP,IDT,0001005731,4813
CSG SYSTEMS INTL INC,CSGS,0001005757,7374
IRIDEX CORP,IRIX,0001006045,3845
PROTALIX BIOTHERAPEUTICS INC,PLX,0001006281,2836
EVOLUTION PETROLEUM CORP,EPM,0001006655,1311
HC2 HOLDINGS INC,HCHC,0001006837,3440
PRGX GLOBAL INC,PRGX,0001007330,8721
KVH INDUSTRIES INC,KVHI,0001007587,4899
STREAMLINE HEALTH SOLUTIONS,STRM,0001008586,7373
TUPPERWARE BRANDS CORP,TUP,0001008654,3089
ACORDA THERAPEUTICS INC,ACOR,0001008848,2836
CARBO CERAMICS INC,CRRTQ,0001009672,3290
CAPSTONE TURBINE CORP,CPST,0001009759,3510
JAKKS PACIFIC INC,JAKK,0001009829,3942
AIR INDUSTRIES GROUP INC,AIRI,0001009891,3728
SIGA TECHNOLOGIES INC,SIGA,0001010086,2836
SYKES ENTERPRISES INC,SYKE,0001010612,7374
CYNERGISTEK INC,CTEK,0001011432,7374
GOLDEN MINERALS CO,AUMN,0001011509,1040
KNOLL INC,KNL,0001011570,2522
RUSH ENTERPRISES INC,RUSHA,0001012019,5500
SEALED AIR CORP,SEE,0001012100,3081
GENESEE & WYOMING INC  -CL A,GWR,0001012620,4011
FACTSET RESEARCH SYSTEMS INC,FDS,0001013237,7370
ARADIGM CORP,ARDMQ,0001013238,3841
ANSYS INC,ANSS,0001013462,7372
BJ'S RESTAURANTS INC,BJRI,0001013488,5812
ENDOLOGIX INC,ELGX,0001013606,3841
WILHELMINA INTERNATIONAL INC,WHLM,0001013706,7900
PEGASYSTEMS INC,PEGA,0001013857,7372
NRG ENERGY INC,NRG,0001013871,4911
STRATEGIC EDUCATION INC,STRA,0001013934,8200
VERISIGN INC,VRSN,0001014473,7370
CHARLES & COLVARD LTD,CTHR,0001015155,3290
AWARE INC,AWRE,0001015739,7372
ULTIMATE SOFTWARE GROUP INC,ULTI,0001016125,7372
ANTARES PHARMA INC,ATRS,0001016169,3841
CARRIAGE SERVICES INC,CSV,0001016281,7200
TRANSACT TECHNOLOGIES INC,TACT,0001017303,3577
HIBBETT SPORTS INC,HIBB,0001017480,5940
DOVER MOTORSPORTS INC,DVD,0001017673,7948
WILLIS LEASE FINANCE CORP,WLFC,0001018164,7359
AMAZON.COM INC,AMZN,0001018724,5961
ABERCROMBIE & FITCH  -CL A,ANF,0001018840,5651
ALLEGHENY TECHNOLOGIES INC,ATI,0001018963,3350
BIO-KEY INTERNATIONAL INC,BKYI,0001019034,3829
SEACHANGE INTERNATIONAL INC,SEAC,0001019671,7372
ARQULE INC,ARQL,0001019695,2836
NAVIGANT CONSULTING INC,NCI,0001019737,8742
PENSKE AUTOMOTIVE GROUP INC,PAG,0001019849,5500
CERUS CORP,CERS,0001020214,2836
DXP ENTERPRISES INC,DXPE,0001020710,5080
UNITED NATURAL FOODS INC,UNFI,0001020859,5140
TRIUMPH GROUP INC,TGI,0001021162,3728
BBQ HOLDINGS INC,BBQ,0001021270,5812
NU SKIN ENTERPRISES  -CL A,NUS,0001021561,2844
ON TRACK INNOVATIONS,OTIVF,0001021604,3577
NATIONAL OILWELL VARCO INC,NOV,0001021860,3533
QUEST DIAGNOSTICS INC,DGX,0001022079,8071
EPLUS INC,PLUS,0001022408,5045
ULTRA PETROLEUM CORP,UPLC,0001022646,1311
INSEEGO CORP,INSG,0001022652,3661
STEEL DYNAMICS INC,STLD,0001022671,3312
ANI PHARMACEUTICALS INC,ANIP,0001023024,2834
LITHIA MOTORS INC  -CL A,LAD,0001023128,5500
FORRESTER RESEARCH INC,FORR,0001023313,8700
AUTOWEB INC,AUTO,0001023364,7370
SIMULATIONS PLUS INC,SLP,0001023459,7372
8X8 INC,EGHT,0001023731,4899
SG BLOCKS INC,SGBX,0001023994,3440
COTY INC,COTY,0001024305,2844
ROCKWELL AUTOMATION,ROK,0001024478,3620
TENNECO INC,TEN,0001024725,3714
HELIOS TECHNOLOGIES INC,HLIO,0001024795,3490
CORE MOLDING TECHNOLOGIES,CMT,0001026655,3089
TACTILE SYSTEMS TECHNOLOGY,TCMD,0001027838,3845
DYNAVAX TECHNOLOGIES CORP,DVAX,0001029142,2836
GOLDEN OCEAN GROUP,GOGL,0001029145,4400
SONIC FOUNDRY INC,SOFO,0001029744,7372
GROUP 1 AUTOMOTIVE INC,GPI,0001031203,5500
FIRSTENERGY CORP,FE,0001031296,4911
GULF ISLAND FABRICATION INC,GIFI,0001031623,3730
SEMPRA ENERGY,SRE,0001032208,4931
MAXIMUS INC,MMS,0001032220,8741
LOGITECH INTERNATIONAL SA,LOGI,0001032975,3577
LUMINEX CORP,LMNX,0001033905,2835
AUTOLIV INC,ALV,0001034670,3714
APRICUS BIOSCIENCES INC,APRI,0001034760,
WIDEPOINT CORP,WYY,0001034760,7370
RIGEL PHARMACEUTICALS INC,RIGL,0001034842,2834
VALERO ENERGY CORP,VLO,0001035002,2911
CALIFORNIA WATER SERVICE GP,CWT,0001035201,4941
INTUITIVE SURGICAL INC,ISRG,0001035267,3845
COMFORT SYSTEMS USA INC,FIX,0001035983,1700
IDENTIV INC,INVE,0001036044,3577
QAD INC,QADA,0001036188,7370
INTEST CORP,INTT,0001036262,3825
AEROCENTURY CORP,ACY,0001036848,7359
NII HOLDINGS INC,NIHD,0001037016,4812
RALPH LAUREN CORP,RL,0001037038,2320
METTLER-TOLEDO INTL INC,MTD,0001037646,3826
ARCH COAL INC,ARCH,0001037676,1220
AMETEK INC,AME,0001037868,3823
SILICON LABORATORIES INC,SLAB,0001038074,3674
HESKA CORP,HSKA,0001038133,2835
PIONEER NATURAL RESOURCES CO,PXD,0001038357,1311
OSI SYSTEMS INC,OSIS,0001039065,3844
L3 TECHNOLOGIES INC,LLL,0001039101,3812
NETSOL TECHNOLOGIES INC,NTWK,0001039280,7372
FORMFACTOR INC,FORM,0001039399,3825
ONEOK INC,OKE,0001039684,4923
PETMED EXPRESS INC,PETS,0001040130,5912
PIXELWORKS INC,PXLW,0001040161,3674
AEHR TEST SYSTEMS,AEHR,0001040470,3825
INTELLICHECK INC,IDN,0001040896,3579
ROCKWELL MEDICAL INC,RMTI,0001041024,2834
YUM BRANDS INC,YUM,0001041061,5812
NET 1 UEPS TECHNOLOGIES INC,UEPS,0001041514,7374
URBAN ONE INC,UONEK,0001041657,4832
PRICESMART INC,PSMT,0001041803,5331
CHILDRENS PLACE INC,PLCE,0001041859,5600
CYMABAY THERAPEUTICS INC,CBAY,0001042074,2836
YUNHONG CTI LTD,CTIB,0001042187,3060
DRIL-QUIP INC,DRQ,0001042893,3533
CAPITAL SENIOR LIVING CORP,CSU,0001043000,8300
C H ROBINSON WORLDWIDE INC,CHRW,0001043277,4213
STONERIDGE INC,SRI,0001043337,3679
SONIC AUTOMOTIVE INC  -CL A,SAH,0001043509,5500
JUNIPER NETWORKS INC,JNPR,0001043604,3576
PRECIPIO INC,PRPO,0001043961,2835
BIOCEPT INC,BIOC,0001044378,2835
ONESPAN INC,OSPN,0001044777,3669
GRACE (W R) & CO,GRA,0001045309,2810
INGREDION INC,INGR,0001046257,2040
REALNETWORKS INC,RNWK,0001046327,7370
PERDOCEO EDUCATION CORP,PRDO,0001046568,8200
EMAGIN CORP,EMAN,0001046995,3679
RAYTHEON CO,RTN,0001047122,3812
AMKOR TECHNOLOGY INC,AMKR,0001047127,3674
NATIONAL HEALTHCARE CORP,NHC,0001047335,8051
FRESH DEL MONTE PRODUCE INC,FDP,0001047340,0100
CONSOLIDATED EDISON INC,ED,0001047862,4931
IES HOLDINGS INC,IESC,0001048268,1731
MARRIOTT INTL INC,MAR,0001048286,7011
BIOMARIN PHARMACEUTICAL INC,BMRN,0001048477,2836
F5 NETWORKS INC,FFIV,0001048695,7373
FEDEX CORP,FDX,0001048911,4513
MKS INSTRUMENTS INC,MKSI,0001049502,3823
MERCURY SYSTEMS INC,MRCY,0001049521,3674
COMPX INTERNATIONAL INC,CIX,0001049606,3420
PC CONNECTION INC,CNXN,0001050377,5961
MICROSTRATEGY INC,MSTR,0001050446,7372
SALEM MEDIA GROUP INC,SALM,0001050606,4832
STEELCASE INC,SCS,0001050825,2522
QUANTA SERVICES INC,PWR,0001050915,1731
TELEPHONE & DATA SYSTEMS INC,TDS,0001051512,4812
STRATA SKIN SCIENCES INC,SSKN,0001051514,3841
AXT INC,AXTI,0001051627,3674
EVOLVING SYSTEMS INC,EVOL,0001052054,7371
RED LION HOTELS CORP,RLH,0001052595,7011
CRA INTERNATIONAL INC,CRAI,0001053706,8111
INTERPACE BIOSCIENCES INC,IDXG,0001054102,8071
ALLIQUA BIOMEDICAL INC,ALQA,0001054274,
BSQUARE CORP,BSQR,0001054721,5045
INNOSPEC INC,IOSP,0001054905,2810
INOVIO PHARMACEUTICALS INC,INO,0001055726,3845
MCCLATCHY CO  -CL A,MNIQQ,0001056087,2711
KIRKLAND'S INC,KIRK,0001056285,5990
MANNATECH INC,MTEX,0001056358,2834
INTERNAP CORP,INAPQ,0001056386,7374
MANHATTAN ASSOCIATES INC,MANH,0001056696,7373
AMERICAN STATES WATER CO,AWR,0001056903,4941
MARINEMAX INC,HZO,0001057060,5500
PCTEL INC,PCTI,0001057083,3663
COSTAR GROUP INC,CSGP,0001057352,7370
HACKETT GROUP INC,HCKT,0001057379,8742
IDACORP INC,IDA,0001057877,4911
MARVELL TECHNOLOGY GROUP LTD,MRVL,0001058057,3674
CHIPOTLE MEXICAN GRILL INC,CMG,0001058090,5812
COGNIZANT TECH SOLUTIONS,CTSH,0001058290,7370
CUMULUS MEDIA INC,CMLS,0001058623,4832
IMMERSION CORP,IMMR,0001058811,7372
SP PLUS CORP,SP,0001059262,7500
MOODY'S CORP,MCO,0001059556,7323
REPUBLIC SERVICES INC,RSG,0001060391,4953
SEATTLE GENETICS INC,SGEN,0001060736,2836
SUNESIS PHARMACEUTICALS INC,SNSS,0001061027,2834
AVALON HOLDINGS CORP,AWX,0001061069,4955
CYTOKINETICS INC,CYTK,0001061983,2834
AMERICAN AXLE & MFG HOLDINGS,AXL,0001062231,3714
LEXICON PHARMACEUTICALS INC,LXRX,0001062822,2835
RICEBRAN TECHNOLOGIES,RIBT,0001063537,2090
PEABODY ENERGY CORP,BTU,0001064728,1220
CENTRUS ENERGY CORP,LEU,0001065059,2810
EBAY INC,EBAY,0001065088,7370
NETFLIX INC,NFLX,0001065280,7841
NIC INC,EGOV,0001065332,7370
LKQ CORP,LKQ,0001065696,5010
SKECHERS U S A INC,SKX,0001065837,3140
EGAIN CORP,EGAN,0001066194,7370
HEIDRICK & STRUGGLES INTL,HSII,0001066605,7361
FUTURE FINTECH GROUP INC,FTFT,0001066923,2080
CRACKER BARREL OLD CTRY STOR,CBRL,0001067294,5812
UNITED RENTALS INC,URI,0001067701,7350
ENTERCOM COMMUNICATIONS CORP,ETM,0001067837,4832
AXON ENTERPRISE INC,AAXN,0001069183,3480
LENNOX INTERNATIONAL INC,LII,0001069202,3585
KRATOS DEFENSE & SECURITY,KTOS,0001069258,7370
FLEXIBLE SOLUTIONS INTL INC,FSI,0001069394,2810
RGC RESOURCES INC,RGCO,0001069533,4924
TREX CO INC,TREX,0001069878,2400
PHIBRO ANIMAL HEALTH CORP,PAHC,0001069899,2833
PTC THERAPEUTICS INC,PTCT,0001070081,2836
ACHILLION PHARMACEUTICALS,ACHN,0001070336,2836
ACADIA PHARMACEUTICALS INC,ACAD,0001070494,2836
GOLDEN ENTERTAINMENT INC,GDEN,0001071255,7990
BOTTOMLINE TECHNOLOGIES INC,EPAY,0001073349,7370
U S CONCRETE INC,USCR,0001073429,3270
BOOKING HOLDINGS INC,BKNG,0001075531,7370
CREXENDO INC,CXDO,0001075736,7370
POLARITYTE INC,PTE,0001076682,2836
NOVANTA INC,NOVT,0001076930,3679
NEOGENOMICS INC,NEO,0001077183,8071
HOOKER FURNITURE CORP,HOFT,0001077688,2510
NETSCOUT SYSTEMS INC,NTCT,0001078075,7373
MEET GROUP INC (THE),MEET,0001078099,7370
NAUTILUS INC,NLS,0001078207,3949
EXTREME NETWORKS INC,EXTR,0001078271,3576
INNOVIVA INC,INVA,0001080014,2834
THESTREET INC,TST,0001080056,7370
ARENA PHARMACEUTICALS INC,ARNA,0001080709,2836
DURECT CORP,DRRX,0001082038,2834
VIRNETX HOLDING CORP,VHC,0001082324,7372
GREAT ELM CAPITAL GROUP INC,GEC,0001082506,5047
UNITED THERAPEUTICS CORP,UTHR,0001082554,2834
STAMPS.COM INC,STMP,0001082923,7370
IKONICS CORP,IKNX,0001083301,2840
APOLLO MEDICAL HOLDING INC,AMEH,0001083446,8090
JONES SODA CO,JSDA,0001083522,2086
J2 GLOBAL INC,JCOM,0001084048,7370
PARETEUM CORP,TEUM,0001084384,4813
LIGHTBRIDGE CORP,LTBR,0001084554,2860
CYREN LTD,CYRN,0001084577,7370
RESOURCES CONNECTION INC,RGP,0001084765,8721
1-800-FLOWERS.COM,FLWS,0001084869,5961
NATURAL GAS SERVICES GROUP,NGS,0001084991,7359
PERFICIENT INC,PRFT,0001085869,7370
AKAMAI TECHNOLOGIES INC,AKAM,0001086222,7370
WPCS INTERNATIONAL INC,WPCS,0001086745,
CUMBERLAND PHARMACEUTICALS,CPIX,0001087294,2834
RED HAT INC,RHT,0001087423,7372
CORCEPT THERAPEUTICS INC,CORT,0001088856,2834
DICKS SPORTING GOODS INC,DKS,0001089063,5940
ALASKA COMMUNICATIONS SYS GP,ALSK,0001089511,4813
KINGOLD JEWELRY INC,KGJI,0001089531,3911
GAIA INC,GAIA,0001089872,7370
OMNOVA SOLUTIONS INC,OMN,0001090061,2821
UNITED PARCEL SERVICE INC,UPS,0001090727,4210
AGILENT TECHNOLOGIES INC,A,0001090872,3826
CHARTER COMMUNICATIONS INC,CHTR,0001091667,4841
CIRCOR INTL INC,CIR,0001091883,3490
WORLD WRESTLING ENTMT INC,WWE,0001091907,7812
TRANSATLANTIC PETROLEUM LTD,TAT,0001092289,1311
CHEMBIO DIAGNOSTICS INC,CEMI,0001092662,2835
SPS COMMERCE INC,SPSC,0001092699,7370
AMERICAN OUTDOOR BRANDS CORP,AOBC,0001092796,3480
HUTTIG BUILDING PRODUCTS INC,HBP,0001093082,5031
DEXCOM INC,DXCM,0001093557,3845
PLUG POWER INC,PLUG,0001093691,3674
MARKER THERAPEUTICS INC,MRKR,0001094038,2836
TELEDYNE TECHNOLOGIES INC,TDY,0001094285,3812
FINISAR CORP,FNSR,0001094739,3577
PFSWEB INC,PFSW,0001095315,7374
HEALTHSTREAM INC,HSTM,0001095565,7372
PLUS THERAPEUTICS INC,PSTV,0001095981,2836
WILLIAM LYON HOMES,WLH,0001095996,1531
LUXFER HOLDINGS PLC,LXFR,0001096056,3350
NUTRISYSTEM INC,NTRI,0001096376,5961
EDGEWELL PERSONAL CARE CO,EPC,0001096752,3420
ALIGN TECHNOLOGY INC,ALGN,0001097149,3843
ON SEMICONDUCTOR CORP,ON,0001097864,3674
AGENUS INC,AGEN,0001098972,2834
BEASLEY BROADCAST GROUP INC,BBGI,0001099160,4832
MERCADOLIBRE INC,MELI,0001099590,7370
EDWARDS LIFESCIENCES CORP,EW,0001099800,3842
ADVAXIS INC,ADXS,0001100397,2836
ARRAY BIOPHARMA INC,ARRY,0001100412,2836
CHARLES RIVER LABS INTL INC,CRL,0001100682,8731
ALLIANCE DATA SYSTEMS CORP,ADS,0001101215,7374
ENTEGRIS INC,ENTG,0001101302,3559
DASAN ZHONE SOLUTIONS INC,DZSI,0001101680,3661
CABOT MICROELECTRONICS CORP,CCMP,0001102934,2890
LIVEPERSON INC,LPSN,0001102993,7370
BIODELIVERY SCIENCES INTL,BDSI,0001103021,2834
MONDELEZ INTERNATIONAL INC,MDLZ,0001103982,2052
CAPELLA EDUCATION CO,CPLA,0001104349,8200
NORTHERN OIL & GAS INC,NOG,0001104485,1311
INSMED INC,INSM,0001104506,2836
MATERION CORP,MTRN,0001104657,3330
SUPPORT.COM INC,SPRT,0001104855,7370
CHINA PHARMA HOLDINGS INC,CPHI,0001106644,2834
CHANTICLEER HOLDINGS INC,BURG,0001106838,5812
ZIOPHARM ONCOLOGY INC,ZIOP,0001107421,2836
QUALYS INC,QLYS,0001107843,7372
COMMUNITY HEALTH SYSTEMS INC,CYH,0001108109,8062
CURIS INC,CRIS,0001108205,2836
SMTC CORP,SMTX,0001108320,3672
SALESFORCE.COM INC,CRM,0001108524,7372
ENTRAVISION COMMUNICATIONS,EVC,0001109116,4833
BASIC ENERGY SERVICES INC,BASX,0001109189,1389
NOVA MEASURING INSTRUMENTS,NVMI,0001109345,3823
BRUKER CORP,BRKR,0001109354,3826
EXELON CORP,EXC,0001109357,4911
ILLUMINA INC,ILMN,0001110803,3826
VISTEON CORP,VC,0001111335,3714
NISOURCE INC,NI,0001111711,4932
IPG PHOTONICS CORP,IPGP,0001111928,3674
GLOBALSCAPE INC,GSB,0001112920,7372
INFINITY PHARMACEUTICALS INC,INFI,0001113148,2834
AXCELIS TECHNOLOGIES INC,ACLS,0001113232,3559
MERITOR INC,MTOR,0001113256,3714
MEDICINES CO (THE),MDCO,0001113481,2834
BUILD-A-BEAR WORKSHOP INC,BBW,0001113809,5945
INTEGER HOLDINGS CORP,ITGR,0001114483,3845
LANTRONIX INC,LTRX,0001114925,3576
IMPINJ INC,PI,0001114995,3674
QUOTIENT TECHNOLOGY INC,QUOT,0001115128,7370
BELMOND LTD,BEL,0001115836,7011
TAPESTRY INC,TPR,0001116132,3100
ORASURE TECHNOLOGIES INC,OSUR,0001116463,2835
TTM TECHNOLOGIES INC,TTMI,0001116942,3672
CBAK ENERGY TECHNOLOGY INC,CBAT,0001117171,3690
QUINSTREET INC,QNST,0001117297,7370
CHIMERIX INC,CMRX,0001117480,2836
MODEL N INC,MODN,0001118417,7370
BROADWIND ENERGY INC,BWEN,0001120370,3510
PDF SOLUTIONS INC,PDFS,0001120914,7370
COMSTOCK MINING INC,LODE,0001120970,1040
OIL STATES INTL INC,OIS,0001121484,3533
YIELD10 BIOSCIENCE INC,YTEN,0001121702,2836
GARMIN LTD,GRMN,0001121788,3812
ELLIE MAE INC,ELLI,0001122388,7372
NETGEAR INC,NTGR,0001122904,3576
POLYONE CORP,POL,0001122976,2821
GLOBAL PAYMENTS INC,GPN,0001123360,7374
HARVARD BIOSCIENCE INC,HBIO,0001123494,3826
CATALYST BIOSCIENCES INC,CBIO,0001124105,2836
EXACT SCIENCES CORP,EXAS,0001124140,8731
FLUOR CORP,FLR,0001124198,1600
CRYOPORT INC,CYRX,0001124524,3842
VMWARE INC -CL A,VMW,0001124610,7373
NLIGHT INC,LASR,0001124796,3674
ALLSCRIPTS HEALTHCARE SOLTNS,MDRX,0001124804,7370
BEACON ROOFING SUPPLY INC,BECN,0001124941,5030
MACROGENICS INC,MGNX,0001125345,2836
ENSIGN GROUP INC,ENSG,0001125376,8051
SHUTTERFLY INC,SFLY,0001125920,2731
GSI TECHNOLOGY INC,GSIT,0001126741,3674
SPIRE INC,SR,0001126956,4924
FLOWERS FOODS INC,FLO,0001128928,2050
MARINE PRODUCTS CORP,MPX,0001129155,3730
VOCERA COMMUNICATIONS INC,VCRA,0001129260,3663
CYCLACEL PHARMACEUTICALS,CYCC,0001130166,2836
CENTERPOINT ENERGY INC,CNP,0001130310,4931
ONCONOVA THERAPEUTICS INC,ONTX,0001130598,2836
OVERSTOCK.COM INC,OSTK,0001130713,5961
HORNBECK OFFSHORE SVCS INC,HOSS,0001131227,4400
GENOMIC HEALTH INC,GHDX,0001131324,2835
SYNCHRONOSS TECHNOLOGIES,SNCR,0001131554,7370
SPORTSMANS WAREHOUSE HLDGS,SPWH,0001132105,5940
TRAVELZOO,TZOO,0001133311,7370
NORTHROP GRUMMAN CORP,NOC,0001133421,3812
CALAVO GROWERS INC,CVGW,0001133470,5140
BIO-PATH HOLDINGS INC,BPTH,0001133818,2836
CAPRICOR THERAPEUTICS INC,CAPR,0001133869,2836
ATLAS AIR WORLDWIDE HLDG INC,AAWW,0001135185,4522
ECO-STIM ENERGY SOLUTIONS,ESES,0001135657,1389
CATASYS INC,CATS,0001136174,8060
ZIMMER BIOMET HOLDINGS INC,ZBH,0001136869,3842
FIDELITY NATIONAL INFO SVCS,FIS,0001136893,7374
POWER SOLUTIONS INTL INC,PSIX,0001137091,3510
SEAGATE TECHNOLOGY PLC,STX,0001137789,3572
INFINERA CORP,INFN,0001138639,3576
ACCURAY INC,ARAY,0001138723,3845
REEDS INC,REED,0001140215,2086
ENSYNC INC,ESNC,0001140310,3690
AMERISOURCEBERGEN CORP,ABC,0001140859,5122
CROSS COUNTRY HEALTHCARE INC,CCRN,0001141103,7363
PEDEVCO CORP,PED,0001141197,1311
NEXSTAR MEDIA GROUP,NXST,0001142417,4833
NUVASIVE INC,NUVA,0001142596,3841
AMN HEALTHCARE SERVICES INC,AMN,0001142750,7361
ACUITY BRANDS INC,AYI,0001144215,3640
BUNGE LTD,BG,0001144519,2040
ASBURY AUTOMOTIVE GROUP INC,ABG,0001144980,5500
FORESCOUT TECH INC,FSCT,0001145057,7371
INSULET CORP,PODD,0001145197,3845
ASPEN AEROGELS INC,ASPN,0001145986,3086
HOUSTON AMERN ENERGY CORP,HUSA,0001156041,1311
BIG 5 SPORTING GOODS CORP,BGFV,0001156388,5940
K12 INC,LRN,0001157408,8200
CHINA AUTOMOTIVE SYSTEMS INC,CAAS,0001157762,3714
SITO MOBILE LTD,SITO,0001157817,7372
APPLIED OPTOELECTRONICS INC,AAOI,0001158114,3674
COMSCORE INC,SCOR,0001158172,7370
COGENT COMMUNICATIONS HLDGS,CCOI,0001158324,4813
ADVANCE AUTO PARTS INC,AAP,0001158449,5531
JETBLUE AIRWAYS CORP,JBLU,0001158463,4512
PLURISTEM THERAPEUTICS INC,PSTI,0001158780,2836
LEMAITRE VASCULAR INC,LMAT,0001158895,3841
HALOZYME THERAPEUTICS INC,HALO,0001159036,2836
FIVE STAR SENIOR LIVING INC,FVE,0001159281,8051
SAVARA INC,SVRA,0001160308,2834
GOLD RESOURCE CORP,GORO,0001160791,1040
INPHI CORP,IPHI,0001160958,3674
MGE ENERGY INC,MGEE,0001161728,4931
RIGNET INC,RNET,0001162112,4899
FLUIDIGM CORP,FLDM,0001162194,3826
CUTERA INC,CUTR,0001162461,3845
DOVER DOWNS GAMING & ENTMT,DDE,0001162556,7990
UNITED STATES STEEL CORP,X,0001163302,3312
NABORS INDUSTRIES LTD,NBR,0001163739,1381
NEWMONT CORP,NEM,0001164727,1040
XPO LOGISTICS INC,XPO,0001166003,4731
PENNEY (J C) CO,JCP,0001166126,5311
VERINT SYSTEMS INC,VRNT,0001166388,7373
COMCAST CORP,CMCSA,0001166691,4841
RIOT BLOCKCHAIN INC,RIOT,0001167419,7370
COMPUTER PROGRAMS & SYSTEMS,CPSI,0001169445,7373
COMMVAULT SYSTEMS INC,CVLT,0001169561,7370
CHANNELADVISOR CORP,ECOM,0001169652,7370
HTG MOLECULAR DIAGNOSTICS,HTGM,0001169987,2835
BOINGO WIRELESS INC,WIFI,0001169988,4899
CARMAX INC,KMX,0001170010,5500
RADIANT LOGISTICS INC,RLGT,0001171155,4731
RED ROBIN GOURMET BURGERS,RRGB,0001171759,5812
HAWAIIAN HOLDINGS INC,HA,0001172222,4512
SUNWORKS INC,SUNW,0001172631,3674
CINEDIGM CORP,CIDM,0001173204,7822
HYSTER-YALE MATERIALS HNDLNG,HY,0001173514,3537
WYNN RESORTS LTD,WYNN,0001174922,7990
CYTOSORBENTS CORP,CTSO,0001175151,3841
FLEETCOR TECHNOLOGIES INC,FLT,0001175454,7374
FIVE PRIME THERAPEUTICS INC,FPRX,0001175505,2836
ORAMED PHARMACEUTICALS INC,ORMP,0001176309,2836
SYNNEX CORP,SNX,0001177394,5045
FIVE BELOW INC,FIVE,0001177609,5331
ENANTA PHARMACEUTICALS INC,ENTA,0001177648,2836
SAIA INC,SAIA,0001177702,4213
SCYNEXIS INC,SCYX,0001178253,2836
ALNYLAM PHARMACEUTICALS INC,ALNY,0001178670,2834
PARATEK PHARMACEUTCLS INC,PRTK,0001178711,2834
AMICUS THERAPEUTICS INC,FOLD,0001178879,2836
CARDIOVASCULAR SYSTEMS INC,CSII,0001180145,3841
HERBALIFE NUTRITION LTD,HLF,0001180262,5122
MOLECULAR TEMPLATES,MTEM,0001183765,2836
GLAUKOS CORP,GKOS,0001192448,3841
POTBELLY CORP,PBPB,0001195734,5812
CODEXIS INC,CDXS,0001200375,2836
AMERICAN PUBLIC EDUCATION,APEI,0001201792,8200
VACCINEX INC,VCNX,0001205922,2836
TEMPUR SEALY INTL INC,TPX,0001206264,2510
VIRTUSA CORP,VRTU,0001207074,7370
HUDSON GLOBAL INC,HSON,0001210708,7361
RTW RETAILWINDS INC,RTW,0001211351,5621
MY SIZE INC,MYSZ,0001211805,7372
PROOFPOINT INC,PFPT,0001212458,7372
TROVAGENE INC,TROV,0001213037,2835
BOQI INTERNATIONAL MEDCL INC,BIMI,0001213660,3490
CAREDX INC,CDNA,0001217234,2835
CROWN HOLDINGS INC,CCK,0001219601,3411
CONN'S INC,CONN,0001223389,5731
MARCHEX INC,MCHX,0001224133,7389
MEDICINOVA INC,MNOV,0001226616,2836
NEOPHOTONICS CORP,NPTN,0001227025,3674
NEURONETICS INC,STIM,0001227636,3845
COMPASS MINERALS INTL INC,CMP,0001227654,1400
JAZZ PHARMACEUTICALS PLC,JAZZ,0001232524,2834
MOMENTA PHARMACEUTICALS INC,MNTA,0001235010,2836
LIQUIDITY SERVICES INC,LQDT,0001235468,5961
SILVERSUN TECHNOLOGIES INC,SSNT,0001236275,7370
COUNTERPATH CORP,CPAH,0001236997,7372
ENDURANCE INTL GRP HLDGS INC,EIGI,0001237746,7370
GLOBUS MEDICAL INC,GMED,0001237831,3841
LUNA INNOVATIONS INC,LUNA,0001239819,3827
APOLLO ENDOSURGERY INC,APEN,0001251769,3841
VAPOTHERM INC,VAPO,0001253176,3845
WHITING PETROLEUM CORP,WLL,0001255474,1311
KRONOS WORLDWIDE INC,KRO,0001257640,2810
CONTROL4 CORP,CTRL,0001259515,3829
TRANSDIGM GROUP INC,TDG,0001260221,3728
UNIVERSAL TECHNICAL INST,UTI,0001261654,8200
FORTINET INC,FTNT,0001262039,3577
MEI PHARMA INC,MEIP,0001262104,2834
WESTLAKE CHEMICAL CORP,WLK,0001262823,2860
CIMPRESS PLC,CMPR,0001262976,2750
STEMLINE THERAPEUTICS INC,STML,0001264587,2836
KONA GRILL INC,KONAQ,0001265572,5812
SECOND SIGHT MEDICAL PRODS,EYES,0001266806,3845
