CONM,TIC,CIK
ICHOR HOLDINGS LTD,ICHR,1652535
FORWARD AIR CORP,FWRD,912728
BOSTON PRIVATE FINL HOLDINGS,BPFH,821127
NEW YORK CMNTY BANCORP INC,NYCB,910073
PARKERVISION INC,PRKR,914139
MADDEN STEVEN LTD,SHOO,913241
EASTMAN CHEMICAL CO,EMN,915389
ENDRA LIFE SCIENCES INC,NDRA,1681682
UFP TECHNOLOGIES INC,UFPT,914156
CHENIERE ENERGY INC,LNG,3570
MEDIFAST INC,MED,910329
NEXTIER OILFIELD SOLUTNS INC,NEX,1688476
JAGGED PEAK ENERGY INC,JAG,1685715
NI HOLDINGS INC,NODK,1681206
RAMACO RESOURCES INC,METC,1687187
SELECT ENERGY SERVICES INC,WTTR,1693256
JOUNCE THERAPEUTICS INC,JNCE,1640455
APOLLO ENDOSURGERY INC,APEN,1251769
DSP GROUP INC,DSPG,915778
MARTIN MARIETTA MATERIALS,MLM,916076
MOBILE MINI INC,MINI,911109
TRACTOR SUPPLY CO,TSCO,916365
ALBEMARLE CORP,ALB,915913
AROTECH CORP,ARTX,916529
INVESCO LTD,IVZ,914208
FOUNDATION BLDG MRL INC,FBM,1688941
BIOCRYST PHARMACEUTICALS INC,BCRX,882796
FARMERS NATL BANC CORP/OH,FMNB,709337
OLYMPIC STEEL INC,ZEUS,917470
NN INC,NNBR,918541
LANDMARK BANCORP INC/KS,LARK,1141688
BAUSCH HEALTH COMPANIES INC,BHC,885590
AK STEEL HOLDING CORP,AKS,918160
VIVUS INC,VVUS,881524
SILICOM LTD,SILC,916793
DNB FINANCIAL CORP,DNBF,713671
SNAP INC,SNAP,1564408
INGERSOLL RAND INC,IR,1699150
NEKTAR THERAPEUTICS,NKTR,906709
PROPETRO HOLDING CORP,PUMP,1680247
INVESTMENT TECHNOLOGY GP INC,ITG,920424
DIVERSICARE HEALTHCARE SVCS,DVCR,919956
SYPRIS SOLUTIONS INC,SYPR,864240
AMERIS BANCORP,ABCB,351569
AMPLIPHI BIOSCIENCES CORP,APHB,921114
TELLURIAN INC,TELL,61398
PENN NATIONAL GAMING INC,PENN,921738
SIMPSON MANUFACTURING INC,SSD,920371
LA JOLLA PHARMACEUTICAL CO,LJPC,920465
LIBERTY OILFIELD SVS,LBRT,1694028
IMAX CORP,IMAX,921582
WARRIOR MET COAL INC,HCC,1691303
FALCONSTOR SOFTWARE INC,FALC,922521
ALTA MESA RESOURCES INC,AMRQQ,1690769
FRESH DEL MONTE PRODUCE INC,FDP,1047340
GEO GROUP INC,GEO,923796
SOLARIS OILFIELD IF INC,SOI,1697500
MILLER INDUSTRIES INC/TN,MLR,924822
ADTRAN INC,ADTN,926282
AMEDISYS INC,AMED,896262
ENERGY FOCUS INC,EFOI,924168
PATRIOT NATIONAL BANCORP INC,PNBK,1098146
DARLING INGREDIENTS INC,DAR,916540
ALTERYX INC,AYX,1689923
SIRIUS XM HOLDINGS INC,SIRI,908937
WILLAMETTE VALLEY VINEYARDS,WVVI,838875
RELIANCE STEEL & ALUMINUM CO,RS,861884
CENTRAL EUROPEAN MEDIA,CETV,925645
TOCAGEN INC,TOCA,1419041
KNIGHT-SWIFT TRPTN HLDGS INC,KNX,1492691
COVENANT TRANSPORTATION GRP,CVTI,928658
FIDELITY SOUTHERN CORP,LION,822662
HUDSON TECHNOLOGIES INC,HDSN,925528
TECHNIPFMC PLC,FTI,1681459
NORTHWEST BANCSHARES INC,NWBI,1471265
CADENCE BANCORPORATION,CADE,1614184
CAPITAL ONE FINANCIAL CORP,COF,927628
EMERALD HOLDING INC,EEX,1579214
CARVANA CO,CVNA,1690820
NCS MULTISTAGE HLDG INC,NCSM,1692427
ZYMEWORKS INC,ZYME,1403752
UROGEN PHARMA LTD,URGN,1668243
CANTERBURY PARK HOLDING CORP,CPHC,1672909
FIVE POINT HOLDINGS LLC,FPH,1574197
UNVL STAINLESS & ALLOY PRODS,USAP,931584
SAVARA INC,SVRA,1160308
NUTRISYSTEM INC,NTRI,1096376
GUARANTY BANCSHARES INC,GNTY,1058867
ASV HOLDINGS INC,ASV,1690881
FOCUS FINANCL PRTNR LLC,FOCS,1651052
HANMI FINANCIAL CORP,HAFC,1109242
SEACOR MARINE HLDGS INC,SMHI,1690334
ATHENEX INC,ATNX,1300699
PROPHASE LABS INC,PRPH,868278
INSIGHT ENTERPRISES INC,NSIT,932696
SHOTSPOTTER INC,SSTI,1351636
RENT-A-CENTER INC,RCII,933036
WIDEOPENWEST INC,WOW,1701051
CO-DIAGNOSTIC INC,CODX,1692415
SPEEDWAY MOTORSPORTS INC,TRK,934648
ACI WORLDWIDE INC,ACIW,935036
ESQUIRE FINCL HOLD INC,ESQ,1531031
NATIONAL INSTRUMENTS CORP,NATI,935494
MERSANA THRPEUTIC INC,MRSN,1442836
READING INTL INC  -CL A,RDI,716634
DOVA PHARMACEUTICAL INC,DOVA,1685071
PCM INC,PCMI,937941
MB FINANCIAL INC/MD,MBFI,1139812
GUARANTY FED BANCSHARES INC,GFED,1046203
AMES NATIONAL CORP,ATLO,1132651
TAITRON COMPONENTS  -CL A,TAIT,942126
CBIZ INC,CBZ,944148
BANK OF MARIN BANCORP,BMRC,1403475
BRIGHTHOUSE FINANL INC,BHF,1685040
IMAGE SENSING SYSTEMS INC,ISNS,943034
DELPHI TECHNOLOGIES PLC,DLPH,1707092
TCG BDC INC,CGBD,1544206
VENATOR MATERIALS PLC,VNTR,1705682
ADOMANI INC,ADOM,1563568
HARMONIC INC,HLIT,851310
RANGER ENERGY SERVICES,RNGR,1699039
BAR HARBOR BANKSHARES,BHB,743367
KALA PHARMECUTICAL INC,KALA,1479419
AKCEA THERAPEUTICS INC,AKCA,1662524
EXELA TECHNOLOGIES INC,XELA,1620179
PRECIPIO INC,PRPO,1043961
CISION LTD,CISN,1701040
REDFIN CORP,RDFN,1382821
BAKER HUGHES CO,BKR,1701605
PETIQ INC,PETQ,1668673
EAGLE FINANCIAL BANCORP,EFBI,1699018
ALPINE IMMUNE SCIENCES INC,ALPN,1626199
PDL COMMUNITY BANCORP,PDLB,1703489
MOLECULAR TEMPLATES,MTEM,1183765
PQ GROUP HOLDINGS INC,PQG,1708035
AERPIO PHARMACEUTICALS INC,ARPO,1422142
QUINTANA ENERGY SVC INC,QES,1704235
JAGUAR HEALTH INC,JAGX,1585608
SYNLOGIC INC,SYBX,1527599
CONSOL ENERGY INC,CEIX,1710366
ROKU INC,ROKU,1428439
DECIPHERA PHRMCTAL INC,DCPH,1654151
OPTINOSE INC,OPTN,1494650
ARCIMOTO INC,FUV,1558583
ANGI HOMESERVICES INC,ANGI,1705110
AQUANTIA CORP,AQ,1316016
SPERO THERAPEUTICS INC,SPRO,1701108
FUNKO INC,FNKO,1704711
ALTAIR ENGINEERING INC,ALTR,1701732
CARGURUS INC,CARG,1494259
FORESCOUT TECH INC,FSCT,1145057
NATIONAL VISION HLDGS INC,EYE,1710155
FAT BRANDS INC,FAT,1705012
CBTX INC,CBTX,1473844
ARSANIS INC,ASNS,1501697
ACM RESEARCH INC,ACMR,1680062
SAILPOINT TECHNO HLDG,SAIL,1627857
CUE BIOPHARMA,CUE,1645460
STERLING BANCORP INC,SBT,1680379
NEWMARK GROUP INC,NMRK,1690680
EQUITABLE HOLDINGS INC,EQH,1333986
DENALI THERAPEUTCS INC,DNLI,1714899
APOLLO MEDICAL HOLDING INC,AMEH,1083446
GATES INDUSTRIAL CORP PLC,GTES,1718512
ADT INC,ADT,1703056
CACTUS INC,WHD,1699136
ZSCALER INC,ZS,1713683
FTS INTERNATIONAL INC,FTSI,1529463
RED VIOLET INC - SPN,RDVT,1720116
WYNDHAM HOTELS & RESRTS,WH,1722684
SURFACE ONCOLOGY INC,SURF,1718108
APERGY CORP,APY,1723089
KINIKSA PHRMCETCLS LTD,KNSA,1730430
ORIGIN BANCORP,OBNK,1516912
EURODRY LTD,EDRY,1731388
WRAP TECHNOLOGIES,WRTC,1702924
MEIRAGTX HOLDINGS,MGTX,1735438
COASTAL FINANCIAL CORP,CCB,1437958
FIRST WSTRN FINNCIL INC,MYFW,1327607
ARLO TECHNOLOGIES INC,ARLO,1736946
SONOS INC,SONO,1314727
CUSHMAN & WAKEFIELD,CWK,1628369
LIQUIDIA TECHNOLOGIES,LQDA,1330436
FRONTDOOR INC,FTDR,1727263
ELANCO ANIMAL HLTH INC,ELAN,1739104
ENTASIS THRPTCS HLDNG,ETTX,1724344
LIVENT CORP,LTHM,1742924
GARRETT MOTION INC,GTX,1735707
RESIDEO TECHNOLOGIES,REZI,1740332
SVMK INC,SVMK,1739936
EQUITRANS MID CORP,ETRN,1747009
AXONICS MODULATION TECH INC,AXNX,1603756
SIRIUS INTL INSURANCE LTD,SG,1744894
ALTUS MIDSTREAM COMPANY,ALTM,1692787
SINCLAIR BROADCAST GP  -CL A,SBGI,912752
GLOWPOINT INC -OLD,GLOW.,746210
DISH NETWORK CORP,DISH,1001082
HAWAIIAN HOLDINGS INC,HA,1172222
NATURAL HEALTH TRENDS CORP,NHTC,912061
WABTEC CORP,WAB,943452
AMERICAN RIVER BANKSHARES,AMRB,1108236
ACACIA RESEARCH CORP,ACTG,934549
WAYSIDE TECHNOLOGY GROUP INC,WSTG,945983
AUBURN NATIONAL BANCORP,AUBN,750574
ASTEA INTERNATIONAL INC,ATEA,945989
GSE SYSTEMS INC,GVP,944480
AMCON DISTRIBUTING CO,DIT,928465
WINDTREE THERAPEUTICS INC,WINT,946486
GRAFTECH INTERNATIONAL LTD,EAF,931148
ATLAS AIR WORLDWIDE HLDG INC,AAWW,1135185
KFORCE INC,KFRC,930420
INTEGRA LIFESCIENCES HLDGS,IART,917520
CRAFT BREW ALLIANCE INC,BREW,892222
BALLANTYNE STRONG INC,BTN,946454
ARCH CAPITAL GROUP LTD,ACGL,947484
SMITH MICRO SOFTWARE INC,SMSI,948708
MEDNAX INC,MD,893949
CRAY INC,CRAY,949158
NOVANTA INC,NOVT,1076930
ERIE INDEMNITY CO,ERIE,922621
EVEREST RE GROUP LTD,RE,1095073
RENAISSANCERE HOLDINGS LTD,RNR,913144
HANOVER INSURANCE GROUP INC,THG,944695
DIAMOND OFFSHRE DRILLING INC,DO,949039
POOL CORP,POOL,945841
DAVITA INC,DVA,927066
BANNER CORP,BANR,946673
OPKO HEALTH INC,OPK,944809
HENRY SCHEIN INC,HSIC,1000228
MILESTONE SCIENTIFIC INC,MLSS,855683
SCHWEITZER-MAUDUIT INTL INC,SWM,1000623
ADVANCED ENERGY INDS INC,AEIS,927003
WATERS CORP,WAT,1000697
BOSTON BEER INC  -CL A,SAM,949870
FLUSHING FINANCIAL CORP,FFIC,923139
IMPAC MORTGAGE HOLDINGS INC,IMH,1000298
INTEVAC INC,IVAC,1001902
NORTHWEST PIPE CO,NWPX,1001385
NOVAVAX INC,NVAX,1000694
CITRIX SYSTEMS INC,CTXS,877890
HEARTLAND FINANCIAL USA INC,HTLF,920112
TG THERAPEUTICS INC,TGTX,1001316
BLONDER TONGUE LABS INC,BDR,1000683
HARTFORD FINANCIAL SERVICES,HIG,874766
KINGSWAY FINANCIAL SVCS INC,KFS,1072627
CORE LABORATORIES NV,CLB,1000229
SOUTHERN COPPER CORP,SCCO,1001838
BROADWAY FINANCIAL CORP/DE,BYFC,1001171
TITAN PHARMACEUTICALS INC,TTNP,910267
IDERA PHARMACEUTICALS INC,IDRA,861838
INDUSTRIAL SERVICES AMER INC,IDSA,4187
ENGLOBAL CORP,ENG,933738
WIDEPOINT CORP,WYY,1034760
ALPHA PRO TECH LTD,APT,884269
APRICUS BIOSCIENCES INC,APRI,1017491
PATHFINDER BANCORP INC,PBHC,1609065
PLUMAS BANCORP,PLBC,1168455
IRIDEX CORP,IRIX,1006045
TENGASCO INC,TGC,1001614
UNITY BANCORP INC,UNTY,920427
ALEXION PHARMACEUTICALS INC,ALXN,899866
CSG SYSTEMS INTL INC,CSGS,1005757
REVLON INC  -CL A,REV,887921
IRON MOUNTAIN INC,IRM,1020569
HUB GROUP INC  -CL A,HUBG,940942
ARBUTUS BIOPHARMA CORP,ABUS,1447028
PRGX GLOBAL INC,PRGX,1007330
CENTURY ALUMINUM CO,CENX,949157
AIM IMMUNOTECH INC,AIM,946644
KVH INDUSTRIES INC,KVHI,1007587
PROTALIX BIOTHERAPEUTICS INC,PLX,1006281
CONSOLIDATED WATER CO INC,CWCO,928340
COMMUNITY WEST BANCSHARES,CWBC,1051343
SANDY SPRING BANCORP INC,SASR,824410
DEAN FOODS CO,DFODQ,931336
CARBO CERAMICS INC,CRRTQ,1009672
TRAVELERS COS INC,TRV,86312
TUCOWS INC,TCX,909494
SYKES ENTERPRISES INC,SYKE,1010612
JAKKS PACIFIC INC,JAKK,1009829
FTI CONSULTING INC,FCN,887936
PREMIER FINANCIAL BANCORP,PFBI,887919
TUPPERWARE BRANDS CORP,TUP,1008654
MEDALLION FINANCIAL CORP,MFIN,1000209
NEUROCRINE BIOSCIENCES INC,NBIX,914475
SS&C TECHNOLOGIES HLDGS INC,SSNC,1402436
SOUTHSIDE BANCSHARES INC,SBSI,705432
RUSH ENTERPRISES INC,RUSHA,1012019
SB FINANCIAL GROUP INC,SBFG,767405
ANSYS INC,ANSS,1013462
ENDOLOGIX INC,ELGX,1013606
GENESEE & WYOMING INC  -CL A,GWR,1012620
DIME COMMUNITY BANCSHARES,DCOM,1005409
GLASSBRIDGE ENTERPRISES INC,GLAE,1014111
CENTRAL VALLEY CMNTY BANCORP,CVCY,1127371
OCEANFIRST FINANCIAL CORP,OCFC,1004702
FBL FINANCIAL GROUP INC-CL A,FFG,1012771
PEGASYSTEMS INC,PEGA,1013857
STRATEGIC EDUCATION INC,STRA,1013934
WILHELMINA INTERNATIONAL INC,WHLM,1013706
GERON CORP,GERN,886744
LAMAR ADVERTISING CO  -CL A,LAMR,1090425
AWARE INC,AWRE,1015739
CARRIAGE SERVICES INC,CSV,1016281
E TRADE FINANCIAL CORP,ETFC,1015780
TRANSACT TECHNOLOGIES INC,TACT,1017303
STERICYCLE INC,SRCL,861878
MICROVISION INC,MVIS,65770
MMA CAPITAL HOLDINGS,MMAC,1003201
SOUTHWEST GEORGIA FINL CORP,SGB,315849
CALPINE CORP,8356B,916457
OCWEN FINANCIAL CORP,OCN,873860
ENDO INTERNATIONAL PLC,ENDP,1593034
SPECTRUM PHARMACEUTICALS INC,SPPI,831547
ANTARES PHARMA INC,ATRS,1016169
DOVER MOTORSPORTS INC,DVD,1017673
NAVIGANT CONSULTING INC,NCI,1019737
WEST BANCORPORATION INC,WTBA,1166928
WINTRUST FINANCIAL CORP,WTFC,1015328
ARQULE INC,ARQL,1019695
PENSKE AUTOMOTIVE GROUP INC,PAG,1019849
USANA HEALTH SCIENCES INC,USNA,896264
NATIONAL OILWELL VARCO INC,NOV,1021860
BBQ HOLDINGS INC,BBQ,1021270
HC2 HOLDINGS INC,HCHC,1006837
NU SKIN ENTERPRISES  -CL A,NUS,1021561
STEEL DYNAMICS INC,STLD,1022671
FORRESTER RESEARCH INC,FORR,1023313
DPW HOLDINGS INC,DPW,896493
QUEST DIAGNOSTICS INC,DGX,1022079
LITHIA MOTORS INC  -CL A,LAD,1023128
EMCLAIRE FINANCIAL CORP,EMCF,858800
DXP ENTERPRISES INC,DXPE,1020710
UNITED SECURITY BANCSHARS CA,UBFO,1137547
HELIOS TECHNOLOGIES INC,HLIO,1024795
INSPERITY INC,NSP,1000753
CERUS CORP,CERS,1020214
VERICEL CORP,VCEL,887359
GOLDEN OCEAN GROUP,GOGL,1029145
SILGAN HOLDINGS INC,SLGN,849869
TIVO CORP,TIVO,1675820
CTI BIOPHARMA CORP,CTIC,891293
EURONET WORLDWIDE INC,EEFT,1029199
SOUTH STATE CORP,SSB,764038
GULF ISLAND FABRICATION INC,GIFI,1031623
BIO-KEY INTERNATIONAL INC,BKYI,1019034
AUTOLIV INC,ALV,1034670
FLAGSTAR BANCORP INC,FBC,1033012
KNOLL INC,KNL,1011570
RAMBUS INC,RMBS,917273
AMAZON.COM INC,AMZN,1018724
UNITED COMMUNITY BANKS INC,UCBI,857855
SAREPTA THERAPEUTICS INC,SRPT,873303
INTEST CORP,INTT,1036262
PACIFIC PREMIER BANCORP INC,PPBI,1028918
COMFORT SYSTEMS USA INC,FIX,1035983
HELIX ENERGY SOLUTIONS GROUP,HLX,866829
ARCHROCK INC,AROC,1389050
HESKA CORP,HSKA,1038133
QUICKLOGIC CORP,QUIK,882508
GLEN BURNIE BANCORP,GLBZ,890066
CORECIVIC INC,CXW,1070985
JONES LANG LASALLE INC,JLL,1037976
EVANS BANCORP INC,EVBN,842518
UMPQUA HOLDINGS CORP,UMPQ,1077771
DIAMOND HILL INVESTMENT GRP,DHIL,909108
BRIGHT HORIZONS FAMILY SOLTN,BFAM,1437578
SIGA TECHNOLOGIES INC,SIGA,1010086
YUM BRANDS INC,YUM,1041061
FARO TECHNOLOGIES INC,FARO,917491
STEWARDSHIP FINANCIAL CORP,SSFN,1023860
1ST CONSTITUTION BANCORP,FCCY,1141807
NORDIC AMERICAN TANKERS LTD,NAT,1000177
CAMDEN NATIONAL CORP,CAC,750686
IDENTIV INC,INVE,1036044
NATIONAL RESEARCH CORP,NRC,70487
STONERIDGE INC,SRI,1043337
OSI SYSTEMS INC,OSIS,1039065
C H ROBINSON WORLDWIDE INC,CHRW,1043277
CHOICE HOTELS INTL INC,CHH,1046311
DRIL-QUIP INC,DRQ,1042893
MERCANTILE BANK CORP,MBWM,1042729
CASELLA WASTE SYS INC  -CL A,CWST,911177
LADENBURG THALMANN FINL SERV,LTS,1029730
GROUP 1 AUTOMOTIVE INC,GPI,1031203
CAPITAL SENIOR LIVING CORP,CSU,1043000
YUNHONG CTI LTD,CTIB,1042187
METTLER-TOLEDO INTL INC,MTD,1037646
MIDWESTONE FINANCIAL GROUP,MOFG,1412665
SONIC AUTOMOTIVE INC  -CL A,SAH,1043509
PROGENICS PHARMACEUTICAL INC,PGNX,835887
SB ONE BANCORP,SBBX,1028954
AFFILIATED MANAGERS GRP INC,AMG,1004434
REALNETWORKS INC,RNWK,1046327
GOLDEN MINERALS CO,AUMN,1011509
NANOPHASE TECHNOLOGIES CORP,NANX,883107
ASSERTIO THERAPEUTICS INC,ASRT,1005201
C&F FINANCIAL CORP,CFFI,913341
INGREDION INC,INGR,1046257
UNITED RENTALS INC,URI,1067701
ARLINGTON ASSET INVESTMENT,AI,1209028
NORWOOD FINANCIAL CORP,NWFL,1013272
OAK VALLEY BANCORP,OVLY,1431567
OLD LINE BANCSHARES INC,OLBK,1253317
LCNB CORP,LCNB,1074902
HOPE BANCORP INC,HOPE,1128361
HERITAGE FINANCIAL CORP,HFWA,1046025
MID PENN BANCORP INC,MPB,879635
AEROCENTURY CORP,ACY,1036848
OLD POINT FINANCIAL CORP,OPOF,740971
W P CAREY INC,WPC,1025378
ROCKWELL MEDICAL INC,RMTI,1041024
VERISIGN INC,VRSN,1014473
PERDOCEO EDUCATION CORP,PRDO,1046568
PEOPLES FINANCIAL SERVICES,PFIS,1056943
QUANTA SERVICES INC,PWR,1050915
COLONY BANKCORP INC,CBAN,711669
PC CONNECTION INC,CNXN,1050377
FIRST US BANCSHARES INC,FUSB,717806
WADDELL&REED FINL INC  -CL A,WDR,1052100
COMPX INTERNATIONAL INC,CIX,1049606
ONESPAN INC,OSPN,1044777
INOVIO PHARMACEUTICALS INC,INO,1055726
FEDERATED HERMES INC,FHI,1056288
TURNING POINT BRANDS INC,TPB,1290677
NIELSEN HOLDINGS PLC,NLSN,1492633
AMERICAN TOWER CORP,AMT,1053507
SIERRA BANCORP/CA,BSRR,1130144
BROOKLINE BANCORP INC,BRKL,1049782
FIELDPOINT PETROLEUM CORP,FPPP,316736
MACATAWA BANK CORP,MCBC,1053584
ENERGY FUELS INC,UUUU,1385849
PEAPACK-GLADSTONE FINAN CORP,PGC,1050743
MARKER THERAPEUTICS INC,MRKR,1094038
PARETEUM CORP,TEUM,1084384
ULTRA PETROLEUM CORP,UPLC,1022646
JONES SODA CO,JSDA,1083522
RED LION HOTELS CORP,RLH,1052595
HERITAGE COMMERCE CORP,HTBK,1053352
LAKELAND BANCORP INC,LBAI,846901
COMMUNITY FINANCIAL CORP,TCFC,855874
MANHATTAN ASSOCIATES INC,MANH,1056696
CRA INTERNATIONAL INC,CRAI,1053706
AMKOR TECHNOLOGY INC,AMKR,1047127
SUMMIT FINANCIAL GROUP INC,SMMF,811808
EVOLVING SYSTEMS INC,EVOL,1052054
INNOSPEC INC,IOSP,1054905
L3 TECHNOLOGIES INC,LLL,1039101
INTERPACE BIOSCIENCES INC,IDXG,1054102
WASTE CONNECTIONS INC,WCN,1318220
AXT INC,AXTI,1051627
AVALON HOLDINGS CORP,AWX,1061069
CAMBRIDGE BANCORP,CATC,711772
HACKETT GROUP INC,HCKT,1057379
ULTIMATE SOFTWARE GROUP INC,ULTI,1016125
MICROSTRATEGY INC,MSTR,1050446
UNION BANKSHARES INC,UNB,706863
CREXENDO INC,CXDO,1075736
ORRSTOWN FINANCIAL SVCS INC,ORRF,826154
COGNIZANT TECH SOLUTIONS,CTSH,1058290
FIRST BANCORP INC/ME,FNLC,765207
TOWNSQUARE MEDIA INC,TSQ,1499832
CUMULUS MEDIA INC,CMLS,1058623
COSTAR GROUP INC,CSGP,1057352
BANK OF COMMERCE HOLDINGS,BOCH,702513
REPUBLIC SERVICES INC,RSG,1060391
PEOPLES FINANCIAL CORP/MS,PFBX,770460
FIRST COMMUNITY CORP/SC,FCCO,932781
UNITED COMMUNITY FINL CORP,UCFC,707886
FARMERS & MERCHANTS BCP/OH,FMAO,792966
REPUBLIC BANCORP INC/KY,RBCAA,921557
CENTRUS ENERGY CORP,LEU,1065059
MANNATECH INC,MTEX,1056358
SALISBURY BANCORP INC,SAL,1060219
CROWN CASTLE INTL CORP,CCI,1051470
FNCB BANCORP INC,FNCB,1035976
RICEBRAN TECHNOLOGIES,RIBT,1063537
EBAY INC,EBAY,1065088
GOLDMAN SACHS GROUP INC,GS,886982
EMAGIN CORP,EMAN,1046995
MACKINAC FINANCIAL CORP,MFNC,36506
FEDNAT HOLDING COMPANY,FNHC,1069996
NETWORK-1 TECHNOLOGIES INC,NTIP,1065078
PROSPERITY BANCSHARES INC,PB,1068851
USIO INC,USIO,1088034
SLEEP NUMBER CORP,SNBR,827187
BLUCORA INC,BCOR,1068875
CYNERGISTEK INC,CTEK,1011432
CENTRAL FEDERAL CORP,CFBK,1070680
FIRST CAPITAL INC,FCAP,1070296
GOLDEN ENTERTAINMENT INC,GDEN,1071255
ENTERPRISE FINL SERVICES CP,EFSC,1025835
SPANISH BROADCASTING SYS INC,SBSAA,927720
STERLING BANCORP,STL,1070154
AMERICAN AXLE & MFG HOLDINGS,AXL,1062231
CITIZENS FIRST CORP,CZFC,1073475
ENTERCOM COMMUNICATIONS CORP,ETM,1067837
EAST WEST BANCORP INC,EWBC,1069157
APTIV PLC,APTV,1521332
GAMCO INVESTORS INC,GBL,1060349
ENTERPRISE BANCORP INC/MA,EBTC,1018399
AUTOWEB INC,AUTO,1023364
MKS INSTRUMENTS INC,MKSI,1049502
BOOKING HOLDINGS INC,BKNG,1075531
TREX CO INC,TREX,1069878
EXTREME NETWORKS INC,EXTR,1078271
ATLANTICUS HOLDINGS CORP,ATLC,1464343
HEIDRICK & STRUGGLES INTL,HSII,1066605
URBAN ONE INC,UONEK,1041657
THESTREET INC,TST,1080056
WESCO INTL INC,WCC,929008
MANHATTAN BRIDGE CAPITAL INC,LOAN,1080340
U S CONCRETE INC,USCR,1073429
SKECHERS U S A INC,SKX,1065837
PACIFIC MERCANTILE BANCORP,PMBC,1109546
SBA COMMUNICATIONS CORP,SBAC,1034054
UNITED THERAPEUTICS CORP,UTHR,1082554
MEET GROUP INC (THE),MEET,1078099
STAMPS.COM INC,STMP,1082923
FINANCIAL INSTITUTIONS INC,FISI,862831
JUNIPER NETWORKS INC,JNPR,1043604
CYREN LTD,CYRN,1084577
ENCORE CAPITAL GROUP INC,ECPG,1084961
SALEM MEDIA GROUP INC,SALM,1050606
NIC INC,EGOV,1065332
J2 GLOBAL INC,JCOM,1084048
VIRNETX HOLDING CORP,VHC,1082324
BIOMARIN PHARMACEUTICAL INC,BMRN,1048477
LENNOX INTERNATIONAL INC,LII,1069202
PERFICIENT INC,PRFT,1085869
INTERNAP CORP,INAPQ,1056386
BLACKROCK INC,BLK,1364742
CIRCOR INTL INC,CIR,1091883
PCTEL INC,PCTI,1057083
CITIZENS HOLDING CO,CIZN,1075706
WORLD WRESTLING ENTMT INC,WWE,1091907
SOUTHERN FIRST BANKSHARES,SFST,1090009
AKAMAI TECHNOLOGIES INC,AKAM,1086222
GAIA INC,GAIA,1089872
PLUG POWER INC,PLUG,1093691
NEOGENOMICS INC,NEO,1077183
FLEXIBLE SOLUTIONS INTL INC,FSI,1069394
INTELLICHECK INC,IDN,1040896
KRATOS DEFENSE & SECURITY,KTOS,1069258
CHARTER COMMUNICATIONS INC,CHTR,1091667
EXPEDIA GROUP INC,EXPE,1324424
IMMERSION CORP,IMMR,1058811
ONTO INNOVATION INC,ONTO,704532
ALASKA COMMUNICATIONS SYS GP,ALSK,1089511
PFSWEB INC,PFSW,1095315
TELEDYNE TECHNOLOGIES INC,TDY,1094285
BGC PARTNERS INC,BGCP,1094831
WPCS INTERNATIONAL INC,WPCS,1086745
MUTUALFIRST FINANCIAL INC,MFSF,1094810
PACKAGING CORP OF AMERICA,PKG,75677
AGENUS INC,AGEN,1098972
BEASLEY BROADCAST GROUP INC,BBGI,1099160
SILICON LABORATORIES INC,SLAB,1038074
EDWARDS LIFESCIENCES CORP,EW,1099800
RIGEL PHARMACEUTICALS INC,RIGL,1034842
LUMINEX CORP,LMNX,1033905
EAGLE BANCORP MONTANA INC,EBMT,1478454
HEALTHSTREAM INC,HSTM,1095565
METLIFE INC,MET,1099219
SUPPORT.COM INC,SPRT,1104855
LEXICON PHARMACEUTICALS INC,LXRX,1062822
LIVEPERSON INC,LPSN,1102993
SANGAMO THERAPEUTICS INC,SGMO,1001233
EXELIXIS INC,EXEL,939767
NOVA MEASURING INSTRUMENTS,NVMI,1109345
QUALSTAR CORP,QBAK,758938
ON SEMICONDUCTOR CORP,ON,1097864
PIXELWORKS INC,PXLW,1040161
TWO RIVER BANCORP,TRCB,1343034
FRONTIER COMMUNICATIONS CORP,FTR,20520
CEVA INC,CEVA,1173489
RIBBON COMMUNICATIONS INC,RBBN,1708055
NRG ENERGY INC,NRG,1013871
INSMED INC,INSM,1104506
PACWEST BANCORP,PACW,1102112
VISTEON CORP,VC,1111335
INTUITIVE SURGICAL INC,ISRG,1035267
BANK OF THE JAMES FINANCIAL,BOTJ,1275101
BASIC ENERGY SERVICES INC,BASX,1109189
CHARLES RIVER LABS INTL INC,CRL,1100682
BERKSHIRE HILLS BANCORP INC,BHLB,1108134
ENTEGRIS INC,ENTG,1101302
AXCELIS TECHNOLOGIES INC,ACLS,1113232
SMTC CORP,SMTX,1108320
ENTRAVISION COMMUNICATIONS,EVC,1109116
ARENA PHARMACEUTICALS INC,ARNA,1080709
ILLUMINA INC,ILMN,1110803
CURIS INC,CRIS,1108205
BRUKER CORP,BRKR,1109354
MEDICINES CO (THE),MDCO,1113481
EQUINIX INC,EQIX,1101239
BELMOND LTD,BEL,1115836
PINNACLE FINL PARTNERS INC,PNFP,1115055
MOODY'S CORP,MCO,1059556
MIDDLEFIELD BANC CORP,MBCN,836147
TTM TECHNOLOGIES INC,TTMI,1116942
DELCATH SYSTEMS INC,DCTH,872912
VERMILLION INC,VRML,926617
DURECT CORP,DRRX,1082038
INTEGER HOLDINGS CORP,ITGR,1114483
SELECT BANCORP INC,SLCT,1263762
